id,created_at,text
827610854786994177,2017-02-03 20:12:58,"RT @ATLUTD: Hey @AtlantaFalcons, we better leave THIS football to you 🏈

Beat the Pats #RiseUp https://t.co/QKiGZqmBFp"
827590490157678592,2017-02-03 18:52:03,"RT @AtlantaFalcons: Coming to Houston? 

⬇️ Here is where you should go. ⬇️
https://t.co/OJrr6sfkkK https://t.co/HSpNjff3X3"
827585954625921024,2017-02-03 18:34:02,"Matchup to Watch in #SB51: #JetJones✈️ vs Malcolm Butler

📝 - https://t.co/CxUQ3AV6Bu https://t.co/wMiTI2MalK"
827577662939881472,2017-02-03 18:01:05,"HEADLINES: How the Falcons unleashed Beasley 

📝 - https://t.co/Dhc7RJYtZN https://t.co/nLBdmp2g7t"
827566578136788992,2017-02-03 17:17:02,"The day before the day before. 

#InBrotherhood https://t.co/1xze0vESQf"
827558005499691008,2017-02-03 16:42:58,"RT @GeorgiaSwarmLAX: Brotherhood is in our DNA.

#InBrotherhood #RiseUp
#FalconsFriday | @AtlantaFalcons https://t.co/Q1DbmT3TOn"
827553499718094850,2017-02-03 16:25:04,"""At the end of the day, I'm just being me."" - Julio https://t.co/B55xGVAkJH"
827548511214383106,2017-02-03 16:05:14,RT @cityofmiltonga: @GovernorDeal: Happy to report that #MiltonGa is in compliance w/ #FalconsFriday! #RiseUp @AtlantaFalcons #SuperBowl #M…
827535886753488896,2017-02-03 15:15:04,"#SB51 went down to the wire in the Madden Simulation. 

DETAILS - https://t.co/gQUwhpzAGY https://t.co/7arH1joAXE"
827528357864566784,2017-02-03 14:45:09,"""Atlanta was IT for me.""

How Deion Sanders brought ""Prime Time"" to the ATL. https://t.co/7d639DdDYQ"
827517876085063680,2017-02-03 14:03:30,RT @BriLovees_You: It's #FalconsFriday let's #RiseUp @AtlantaFalcons Fans (: https://t.co/3D7KV8wF1L
827516737675464704,2017-02-03 13:58:59,RT @TreyKelley54: @AtlantaFalcons https://t.co/cGuxNyS9CO
827515982759485448,2017-02-03 13:55:59,"RT @RealJonsHaveAnH: @AtlantaFalcons , @Turner employees always #RiseUp for #FalconsFridays https://t.co/EOAz4F9mmy"
827510979172798465,2017-02-03 13:36:06,"Road to the Super Bowl: Moment No. 3

It was a game of unsung heroes... and it put us in the playoffs. https://t.co/jwcPCkjxkS"
827500657586212864,2017-02-03 12:55:05,"It's #SB51 #FalconsFriday! 

Show us how you're wearing your Falcons swag today! https://t.co/9UCUsK28JH"
827339606504796160,2017-02-03 02:15:08,"We've had a lot of special plays this year but we're not done yet. 

Check out the Top 10 plays so far this season.  https://t.co/a68xK92kxx"
827325739577991168,2017-02-03 01:20:01,"Despite a heartbreaking loss against KC in Week 13, DQ says the adversity made the team stronger.

🎥 -… https://t.co/JzmfefdB19"
827309397562925056,2017-02-03 00:15:05,"When #JetJones✈️ practices, he practices HARD.

🎥 - https://t.co/DsbRWMiJVU https://t.co/VKZ7M94HW2"
827308176072699904,2017-02-03 00:10:14,"RT @Braves: Hey @RedSox, hope you're ready to join us #InBrotherhood https://t.co/BneBPUHHz4"
827290774765084672,2017-02-02 23:01:05,"Just a few more days...

#SB51 https://t.co/1mpQCGZ6sh"
827275921300156416,2017-02-02 22:02:04,"We seek something greater than ourselves. 
A prize that will ring in eternity.

#InBrotherhood https://t.co/EZeSuwYZ89"
827265863921266689,2017-02-02 21:22:06,"Coming to Houston? 

⬇️ Here is where you should go. ⬇️
https://t.co/OJrr6sfkkK https://t.co/HSpNjff3X3"
827257808370348034,2017-02-02 20:50:05,"Shout out to our friend @DwightHoward from the @ATLHawks for showing us love on our Snapchat!

👻 - falcons https://t.co/E0bK3ZlQ1k"
827253318833561600,2017-02-02 20:32:15,RT @Braves: 😎 @AtlantaFalcons #InBrotherhood https://t.co/FgjEN6NZga
827248985177927681,2017-02-02 20:15:02,"""I've never in my days of doing Falcons games been able to say if we show up and play, they can't beat us."" -… https://t.co/yzfu3DAij3"
827238180642398208,2017-02-02 19:32:06,"""This is a dream come true for me."" - @VicBeasley3 https://t.co/3WlJLAFNGL"
827227104437604353,2017-02-02 18:48:05,"How do you try to contain Tom Brady?

@DjShockley3 has the answer. 

Full Film Session ➡️ https://t.co/wEkeFWkcWY https://t.co/fwU3bssctl"
827217383492251648,2017-02-02 18:09:27,"Are you ready?

#InBrotherhood https://t.co/pJ4flNZUfj"
827210545363300353,2017-02-02 17:42:17,Thank you Falcons fans! #RiseUp #askmckay https://t.co/WkA0OhU6SV
827210213702893568,2017-02-02 17:40:58,.@Tarvinder14 #askmckay https://t.co/D04jFOXV85
827209955740680193,2017-02-02 17:39:56,.@footballboardDE #askmckay https://t.co/ZBjUeNi2Hs
827209669617844225,2017-02-02 17:38:48,.@RobbyBoudreau21 #askmckay https://t.co/dqJyFx7YJ7
827209218843373568,2017-02-02 17:37:01,.@ATLUTDSydney #askmckay https://t.co/CsoZJ974HY
827208912583659523,2017-02-02 17:35:48,.@Wxzrd_ #askmckay https://t.co/ONI26TAKrx
827208578901610501,2017-02-02 17:34:28,.@QuishaunW #askmckay https://t.co/ZZGBmF5Z9m
827208320788361216,2017-02-02 17:33:27,.@gianlia96 #askmckay https://t.co/I6qeqz735u
827208040881541121,2017-02-02 17:32:20,.@Sarjit21 #askmckay https://t.co/Kk02xjfZNI
